,dish_type,restaurant_name,price,star,comment_num,location
341,日本料理,合长寿司（板桥西路店）,44,5,742,金山区
342,日本料理,三町目居酒屋,139,4,5,黄浦区
343,日本料理,游山炙烤居酒屋（天山店）,191,4,91,长宁区
344,日本料理,锦水亭日本料理（嘉定店）,195,4,299,嘉定区
345,蛋糕甜点,杜哈夫西点（日月光店）,240,4,25,黄浦区
346,蛋糕甜点,荔园面包房,50,5,1545,普陀区
347,蛋糕甜点,长晋面包坊,114,5,1251,杨浦区
348,蛋糕甜点,SJ.蛋糕私人定制,399,4,3,黄浦区
349,蛋糕甜点,麦香村（青村店）,15,4,736,奉贤区
350,蛋糕甜点,闵泽蛋糕房,110,5,493,静安区
351,蛋糕甜点,【西凡尼蛋糕·甜品桌定制】（虹口店）,0,4,20,虹口区
352,蛋糕甜点,爱珍西点（场中路店）,109,5,1039,静安区
353,蛋糕甜点,匠造烘焙（联洋店）,25,4,871,浦东新区
354,蛋糕甜点,菲手酿作坊甜品,18,4,5,长宁区
355,蛋糕甜点,幸福西饼生日蛋糕店（启帆店）,87,4,23,浦东新区
356,蛋糕甜点,甘茶度,10,5,548,松江区
357,蛋糕甜点,21cake客蛋糕,177,4,5,浦东新区
358,蛋糕甜点,PONY（龙之梦购物中心店）,33,4,271,长宁区
359,蛋糕甜点,吉米娜烘焙,17,5,454,嘉定区
360,江浙菜,圆苑（梅龙镇广场店）,158,4,199,静安区
361,江浙菜,阿英煲（凉城路店）,68,4,2753,虹口区
362,江浙菜,彩蝶坊（西林北路店）,78,4,4377,松江区
363,江浙菜,什味阁（曹路宝龙广场店）,51,4,8373,浦东新区
364,江浙菜,美华轩（徐家汇店）,83,5,3049,徐汇区
365,江浙菜,外滩往事民国上海菜,87,4,1369,黄浦区
366,江浙菜,蟹臻鲜阳澄湖大闸蟹（大宁音乐广场店）,588,3,0,静安区
367,江浙菜,弄堂里（龙之梦长宁店）,59,3,1183,长宁区
368,江浙菜,乐忻皇朝（环贸iapm商场店）,91,4,2069,徐汇区
369,江浙菜,春风松月楼（城隍庙店）,50,3,329,黄浦区
370,江浙菜,青浦宾馆·蝶轩自助餐厅,71,3,4757,青浦区
371,江浙菜,70后饭吧（松江店）,60,4,11152,松江区
372,江浙菜,夏家旗杆·塘桥饭店,101,3,4,闵行区
373,江浙菜,芭堤雅假日酒店餐厅,126,5,940,杨浦区
374,江浙菜,大牌农家乐（环城东路店）,63,4,2248,奉贤区
375,日本料理,黑门和牛（新天地店）,321,4,13,黄浦区
376,日本料理,烧太郎日本料理,108,5,924,浦东新区
377,日本料理,星河湾酒店意咖啡（锦绣路店）,252,5,255,浦东新区
378,日本料理,纳豆日本料理（城市酒店旗舰店）,196,4,94,黄浦区
379,日本料理,银子日本料理铁板烧（人民广场店）,171,4,1904,黄浦区
380,日本料理,奈美居酒屋,84,5,350,浦东新区
381,日本料理,百川屋日本料理,188,5,563,黄浦区
382,日本料理,炙寿司（青松路店）,18,4,8946,青浦区
383,日本料理,富山面家（soho复兴广场店）,60,4,642,黄浦区
384,日本料理,海钓居酒屋,148,4,9,长宁区
385,日本料理,柚子（南汇店）,233,4,1105,浦东新区
386,日本料理,芥末日本料理（打浦路铂尔曼旗舰店）,303,4,363,黄浦区
387,日本料理,寿司王子（巴黎春天成山店）,73,4,1890,浦东新区
388,日本料理,伊藤新苑日本料理·烧肉（古北店）,232,4,575,长宁区
389,日本料理,清水日本料理（仙乐斯广场店）,247,4,479,黄浦区
390,江浙菜,春风松月楼（城隍庙店）,50,3,329,黄浦区
391,江浙菜,70后饭吧（长宁龙之梦店）,65,4,3657,长宁区
392,江浙菜,陇翠轩（黄浦绿地缤纷城店）,30,4,984,黄浦区
393,江浙菜,什味阁（曹路宝龙广场店）,51,4,8373,浦东新区
394,江浙菜,风波庄酒家（松江店）,49,5,2161,松江区
395,江浙菜,江南村酒家,79,5,2560,静安区
396,江浙菜,琉璃小馆,86,4,0,黄浦区
397,江浙菜,江南小菜（海之源店）,54,4,1778,松江区
398,江浙菜,竹筷子松江味（鹿都国际商业广场店）,50,4,3473,松江区
399,江浙菜,懿·EAST（陆家嘴中心店）,208,5,3,浦东新区
400,江浙菜,聚鑫阁（正阳店）,62,4,3799,奉贤区
401,江浙菜,三品香小菜（卫清店）,57,4,5593,金山区
402,江浙菜,苏蟹阁阳澄湖大闸蟹（静安大悦城店）,588,3,0,静安区
403,江浙菜,70后饭吧（百联真光路店）,64,4,3471,普陀区
